Repository Name : AdminLTE_daily 
Date : 17-Sep-2023 11:38 

"Issue Name","Issue Description","File Name","File Path","Line Number","Criticality","Status","Issue datetime","Snapshot label","Snapshot fixed issue label","KPI","Tags"
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","dns_records.php","dns_records.php",94,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","taillog-FTL.php","taillog-FTL.php",27,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",192,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",193,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",194,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",195,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",196,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",199,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",200,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
"Generic.PHP.DisallowShortOpenTag","""Short PHP opening tag used with echo; expected \""<?php echo $cacheVer ...\"" but found \""<?= $cacheVer ...\""""","header.php","scripts/pi-hole/php/header.php",201,"high","NEW","17-Sep-2023 10:06","master",,"[""Robustness""]",""
